Dates,Dem_trifecta,Rep_Trifecta,None
2020-08-30,8.90,16.19,11.25
2020-08-31,8.80,16.71,11.03
2020-09-01,8.75,16.42,11.35
2020-09-02,8.49,16.28,11.15
2020-09-03,8.54,15.92,11.40
2020-09-04,8.89,16.03,11.51
2020-09-05,9.00,16.01,11.44
2020-09-06,8.75,15.97,11.44
2020-09-07,8.52,14.72,11.45
2020-09-08,8.24,14.19,10.78
2020-09-09,7.77,13.85,10.76
2020-09-10,7.56,13.61,10.27
2020-09-11,6.90,13.35,10.40
2020-09-12,6.73,13.32,10.55
2020-09-13,6.72,13.14,10.62
2020-09-14,6.77,13.95,10.81
2020-09-15,6.77,14.58,11.26
2020-09-16,7.12,15.17,11.36
2020-09-17,7.19,15.47,11.79
2020-09-18,7.26,15.64,12.13
2020-09-19,7.35,15.75,12.10
2020-09-20,7.28,15.84,12.33
2020-09-21,7.43,16.39,12.45
2020-09-22,7.57,17.50,12.61
2020-09-23,7.64,17.18,12.65
2020-09-24,7.72,17.11,12.89
2020-09-25,7.89,17.08,12.93
2020-09-26,7.97,17.03,12.85
2020-09-27,8.10,16.94,12.99
2020-09-28,8.12,16.62,12.97
2020-09-29,8.11,15.36,13.22
2020-09-30,8.23,15.58,13.43
2020-10-01,8.28,15.57,13.46
2020-10-02,8.39,15.51,13.63
2020-10-03,8.27,15.77,14.32
2020-10-04,8.31,15.90,14.04
2020-10-05,8.38,15.84,14.61
2020-10-06,8.42,16.23,14.37
2020-10-07,8.48,16.38,15.12
2020-10-08,8.90,16.87,15.39
2020-10-09,9.07,17.27,15.87
2020-10-10,9.39,17.50,16.16
2020-10-11,9.65,17.84,16.77
2020-10-12,9.99,18.20,16.99
2020-10-13,10.40,18.37,17.70
2020-10-14,10.55,18.71,17.79
2020-10-15,10.64,19.04,18.31
2020-10-16,10.96,19.62,18.67
2020-10-17,11.10,19.86,18.12
2020-10-18,11.28,20.15,18.14
2020-10-19,11.48,20.66,19.12
2020-10-20,11.78,20.86,19.77
2020-10-21,12.32,21.33,20.20
2020-10-22,12.57,22.05,20.69
2020-10-23,13.07,22.78,21.08
2020-10-24,14.07,23.38,22.43
2020-10-25,14.62,24.17,23.22
2020-10-26,15.13,24.60,23.22
2020-10-27,15.42,25.42,24.26
2020-10-28,15.91,25.96,25.40
2020-10-29,16.61,26.57,26.19
2020-10-30,17.24,26.86,27.46
2020-10-31,17.46,27.96,28.20
2020-11-01,18.00,28.12,28.64
2020-11-02,18.66,28.76,29.72
2020-11-03,19.55,29.99,30.50
2020-11-04,20.38,31.57,31.77
2020-11-05,21.48,33.23,32.94
2020-11-06,22.75,34.71,34.86
2020-11-07,24.33,36.23,36.45
2020-11-08,25.91,37.93,37.87
2020-11-09,27.29,39.64,39.48
2020-11-10,29.10,41.95,41.30
2020-11-11,30.85,43.42,43.18
2020-11-12,32.31,44.74,45.68
2020-11-13,33.98,46.59,47.77
2020-11-14,35.01,48.51,49.04
2020-11-15,35.73,49.59,50.64
2020-11-16,37.00,50.46,52.43
2020-11-17,37.91,51.22,53.57
2020-11-18,38.45,51.76,54.90
2020-11-19,40.06,52.76,55.53
2020-11-20,40.69,53.51,56.22
2020-11-21,41.89,53.26,56.62
2020-11-22,42.80,53.55,56.94
2020-11-23,42.99,54.18,56.82
2020-11-24,43.69,54.39,56.85
2020-11-25,45.21,55.52,56.81
2020-11-26,45.10,52.85,53.78
2020-11-27,44.39,51.41,51.93
2020-11-28,43.22,49.51,51.86
2020-11-29,42.97,48.79,51.73
2020-11-30,43.19,48.55,50.23
2020-12-01,43.59,50.11,49.97
2020-12-02,43.91,51.09,50.52
2020-12-03,45.36,54.91,54.31
2020-12-04,47.78,57.30,57.22
2020-12-05,50.51,60.01,59.03
2020-12-06,52.93,61.04,60.16
2020-12-07,55.42,61.38,61.56
2020-12-08,56.62,63.67,61.99
2020-12-09,58.20,63.28,62.29
2020-12-10,59.06,62.00,61.94
2020-12-11,60.35,63.64,61.20
2020-12-12,61.54,64.39,60.30
2020-12-13,61.40,65.11,59.98
2020-12-14,62.18,66.47,59.20
2020-12-15,62.31,63.79,58.49
2020-12-16,64.64,64.48,57.37
2020-12-17,66.86,66.95,56.61
2020-12-18,67.11,66.32,55.69
2020-12-19,67.27,65.59,54.36
2020-12-20,68.90,65.54,53.02
2020-12-21,68.02,64.88,52.72
2020-12-22,67.90,65.19,52.23
2020-12-23,65.78,65.49,52.03
2020-12-24,63.18,63.45,51.30
2020-12-25,62.88,58.81,46.39
2020-12-26,59.84,56.51,44.65
2020-12-27,59.13,54.61,43.66
2020-12-28,58.91,54.48,42.81
2020-12-29,58.45,55.90,42.85
2020-12-30,57.53,56.54,44.52
2020-12-31,55.69,59.69,46.21
2021-01-01,57.45,63.24,49.24
2021-01-02,63.45,65.46,50.81
2021-01-03,63.82,69.44,52.44
2021-01-04,61.73,70.40,53.09
2021-01-05,63.95,71.40,54.11
2021-01-06,64.43,72.68,54.84
2021-01-07,68.06,73.37,55.48
2021-01-08,69.07,76.83,59.18
2021-01-09,68.34,79.24,61.06
2021-01-10,69.66,79.09,62.07
2021-01-11,73.20,79.18,62.37
2021-01-12,72.61,77.45,61.83
2021-01-13,72.87,75.53,59.39
2021-01-14,71.33,73.16,57.65
2021-01-15,69.26,70.72,55.15
2021-01-16,66.58,69.13,53.39
2021-01-17,64.75,67.14,52.72
2021-01-18,62.66,64.31,51.72
2021-01-19,59.80,60.82,49.75
2021-01-20,57.04,60.19,48.17
2021-01-21,54.28,59.50,46.84
2021-01-22,51.01,58.18,45.24
2021-01-23,48.48,56.37,44.17
2021-01-24,45.69,55.22,42.10
2021-01-25,44.87,54.22,41.67
2021-01-26,43.57,55.13,41.29
2021-01-27,42.54,53.08,40.85
2021-01-28,41.62,50.97,40.40
2021-01-29,40.55,49.69,39.66
2021-01-30,39.14,48.55,38.92
2021-01-31,37.90,47.15,38.02
2021-02-01,35.72,49.23,36.47
2021-02-02,34.49,47.66,36.54
2021-02-03,32.52,45.82,34.57
2021-02-04,31.31,44.52,32.95
2021-02-05,29.79,42.24,31.98
2021-02-06,28.58,40.78,31.09
2021-02-07,27.86,39.52,30.80
2021-02-08,26.82,35.84,29.98
2021-02-09,26.01,34.38,28.59
2021-02-10,26.00,33.29,27.94
2021-02-11,25.32,31.51,27.58
2021-02-12,24.25,30.53,26.21
2021-02-13,23.31,29.47,25.24
2021-02-14,21.88,28.85,24.01
2021-02-15,20.77,27.80,23.50
2021-02-16,20.12,25.65,21.96
2021-02-17,19.09,23.57,21.22
2021-02-18,18.12,21.87,20.05
2021-02-19,17.51,20.26,19.49
2021-02-20,16.84,19.36,18.76
2021-02-21,16.38,18.78,18.52
2021-02-22,16.18,18.92,18.10
2021-02-23,16.07,20.09,18.56
2021-02-24,16.34,20.67,18.51
2021-02-25,16.49,21.07,18.24
2021-02-26,16.41,21.26,17.98
2021-02-27,16.41,21.41,17.93
2021-02-28,16.22,21.26,17.68
2021-03-01,16.13,20.95,17.62
2021-03-02,15.75,19.93,16.99
2021-03-03,15.47,19.67,16.67
2021-03-04,15.01,19.48,16.45
2021-03-05,14.68,19.04,16.06
2021-03-06,14.55,18.20,15.89
2021-03-07,14.34,17.73,15.51
2021-03-08,14.10,17.13,15.38
2021-03-09,14.30,16.69,15.74
2021-03-10,14.52,16.10,15.75
2021-03-11,14.50,15.58,15.73
2021-03-12,14.61,15.43,15.85
2021-03-13,14.36,15.00,15.98
2021-03-14,14.33,15.18,16.27
2021-03-15,14.28,15.11,16.58
2021-03-16,14.12,14.95,16.86
2021-03-17,13.71,14.90,17.14
2021-03-18,13.99,14.75,17.64
2021-03-19,13.99,14.25,18.11
2021-03-20,14.24,14.34,18.74
2021-03-21,14.41,13.87,18.96
2021-03-22,14.49,13.88,19.64
2021-03-23,14.80,13.94,20.11
2021-03-24,15.08,13.87,21.21
2021-03-25,14.98,13.76,21.90
2021-03-26,15.26,14.26,22.85
2021-03-27,15.47,14.20,23.29
2021-03-28,15.85,14.37,23.78
2021-03-29,16.33,14.63,24.42
2021-03-30,16.58,14.44,25.18
2021-03-31,16.59,14.65,25.15
2021-04-01,17.18,14.81,25.54
2021-04-02,17.11,14.47,25.53
2021-04-03,17.34,14.30,25.84
2021-04-04,17.22,13.99,25.38
2021-04-05,17.06,13.81,25.71
2021-04-06,16.78,14.08,26.03
2021-04-07,17.08,14.18,26.42
2021-04-08,16.86,14.43,26.65
2021-04-09,17.15,14.55,27.18
2021-04-10,17.26,14.91,27.26
2021-04-11,17.60,14.99,28.02
2021-04-12,17.53,15.54,27.93
2021-04-13,17.94,15.98,28.13
2021-04-14,17.92,15.71,28.07
2021-04-15,17.85,15.54,27.92
2021-04-16,17.62,15.54,27.46
2021-04-17,17.44,16.81,27.24
2021-04-18,17.17,16.96,26.83
2021-04-19,16.72,15.29,25.97
2021-04-20,16.19,14.85,24.91
2021-04-21,15.88,14.94,24.03
2021-04-22,15.73,14.59,23.26
2021-04-23,15.28,14.68,22.39
2021-04-24,14.64,13.03,21.75
2021-04-25,14.17,12.83,21.39
2021-04-26,13.95,13.78,20.85
2021-04-27,13.66,13.64,20.36
2021-04-28,13.27,13.44,19.85
2021-04-29,12.87,13.47,19.45
2021-04-30,12.64,13.09,19.23
2021-05-01,12.54,13.20,18.67
2021-05-02,12.35,13.18,18.30
2021-05-03,12.26,12.91,17.86
2021-05-04,12.04,12.58,17.40
2021-05-05,11.87,12.13,16.77
2021-05-06,11.37,11.71,15.98
2021-05-07,11.10,11.36,15.21
2021-05-08,10.63,10.93,14.65
2021-05-09,10.30,10.69,14.02
2021-05-10,9.92,10.41,13.57
2021-05-11,9.56,10.13,12.94
2021-05-12,9.07,9.98,12.39
2021-05-13,8.90,10.25,11.82
2021-05-14,8.45,10.08,11.10
2021-05-15,8.17,9.80,10.77
2021-05-16,7.89,9.59,10.46
2021-05-17,7.72,9.43,10.12
2021-05-18,7.49,9.29,9.75
2021-05-19,7.26,8.90,9.34
2021-05-20,6.90,8.14,8.99
2021-05-21,6.64,7.80,8.71
2021-05-22,6.35,7.55,8.23
2021-05-23,6.06,7.43,7.93
2021-05-24,5.85,7.28,7.67
2021-05-25,5.89,7.09,7.42
2021-05-26,5.83,6.97,7.04
2021-05-27,5.66,6.77,6.59
2021-05-28,5.86,6.58,6.13
2021-05-29,5.60,6.36,5.72
2021-05-30,5.53,6.19,5.49
2021-05-31,5.42,5.91,5.22
2021-06-01,4.90,5.13,4.54
2021-06-02,4.48,4.93,4.21
2021-06-03,4.20,4.92,3.96
2021-06-04,3.58,4.90,3.76
2021-06-05,3.56,4.92,3.64
2021-06-06,3.45,4.94,3.52
2021-06-07,3.42,5.02,3.49
2021-06-08,3.55,5.37,3.61
2021-06-09,3.54,5.80,3.46
2021-06-10,3.47,5.69,3.34
2021-06-11,3.34,5.46,3.12
2021-06-12,3.20,5.43,2.95
2021-06-13,3.12,5.34,2.84
2021-06-14,3.05,5.29,2.75
2021-06-15,2.97,5.24,2.68
2021-06-16,2.92,4.69,2.61
2021-06-17,2.86,4.59,2.49
2021-06-18,2.81,4.44,2.44
2021-06-19,2.78,4.51,2.37
2021-06-20,2.75,4.59,2.34
2021-06-21,2.77,4.62,2.33
2021-06-22,2.75,4.75,2.24
2021-06-23,2.80,4.78,2.25
2021-06-24,2.90,4.92,2.24
2021-06-25,3.06,5.13,2.19
2021-06-26,3.13,5.15,2.22
2021-06-27,3.28,5.17,2.26
2021-06-28,3.32,5.32,2.27
2021-06-29,3.35,5.48,2.33
2021-06-30,2.65,5.81,2.37
2021-07-01,2.68,6.05,2.44
2021-07-02,2.64,6.21,2.55
2021-07-03,2.41,6.33,2.65
2021-07-04,2.14,6.48,2.74
2021-07-05,2.00,6.41,2.82
2021-07-06,2.55,6.46,2.76
2021-07-07,3.32,6.80,2.99
2021-07-08,3.36,7.55,3.21
2021-07-09,3.56,8.30,3.47
2021-07-10,3.72,8.83,3.64
2021-07-11,3.85,9.24,3.82
2021-07-12,5.12,10.12,4.00
2021-07-13,5.20,11.23,4.56
2021-07-14,5.61,12.29,4.95
2021-07-15,6.07,12.97,5.34
2021-07-16,6.46,13.90,5.77
2021-07-17,6.62,14.70,6.13
2021-07-18,6.81,15.51,6.41
2021-07-19,7.64,16.27,6.71
2021-07-20,7.90,17.34,7.30
2021-07-21,8.40,18.59,8.40
2021-07-22,9.74,20.21,9.15
2021-07-23,10.53,21.83,9.99
2021-07-24,10.85,23.32,10.73
2021-07-25,11.09,24.25,11.40
2021-07-26,12.29,25.58,12.07
2021-07-27,13.04,27.50,13.76
2021-07-28,13.64,29.43,14.43
2021-07-29,13.85,31.38,15.63
2021-07-30,14.52,33.65,16.89
2021-07-31,14.87,35.53,17.82
2021-08-01,15.16,36.59,18.70
2021-08-02,16.96,37.79,19.52
2021-08-03,17.52,39.55,19.94
2021-08-04,18.61,41.94,20.84
2021-08-05,19.52,43.45,21.92
2021-08-06,20.58,44.24,22.90
2021-08-07,22.79,45.85,23.99
2021-08-08,25.00,47.19,24.83
2021-08-09,22.50,47.91,25.44
2021-08-10,22.93,49.46,26.40
2021-08-11,23.33,50.20,27.46
2021-08-12,23.67,51.64,28.59
2021-08-13,24.16,52.55,29.82
2021-08-14,24.79,53.77,30.25
2021-08-15,25.11,54.55,30.88
2021-08-16,25.50,55.60,31.27
2021-08-17,25.96,56.58,31.73
2021-08-18,26.79,57.99,32.36
2021-08-19,28.55,58.40,33.36
2021-08-20,29.12,59.70,33.66
2021-08-21,29.19,59.85,33.68
2021-08-22,29.55,61.09,33.55
2021-08-23,29.61,61.49,34.88
2021-08-24,29.72,62.04,35.88
2021-08-25,29.58,62.34,37.27
2021-08-26,28.97,63.70,37.81
2021-08-27,29.32,64.74,38.55
2021-08-28,29.57,64.99,39.19
2021-08-29,29.45,63.97,39.50
2021-08-30,30.24,64.94,39.89
2021-08-31,30.65,65.92,40.20
2021-09-01,32.43,66.96,39.65
2021-09-02,32.43,66.49,39.92
2021-09-03,32.06,66.67,40.12
2021-09-04,31.38,66.38,40.14
2021-09-05,31.52,67.10,40.07
2021-09-06,30.66,65.46,40.11
2021-09-07,29.34,61.95,37.21
2021-09-08,27.00,60.65,37.79
2021-09-09,26.35,61.10,37.95
2021-09-10,26.17,59.90,38.47
2021-09-11,26.87,60.33,38.76
2021-09-12,26.42,59.52,39.13
2021-09-13,26.16,59.84,39.41
2021-09-14,27.65,61.48,42.60
2021-09-15,27.72,60.27,43.21
2021-09-16,28.30,57.98,43.42
2021-09-17,28.01,56.83,43.33
2021-09-18,27.21,54.43,43.08
2021-09-19,26.94,52.68,43.06
2021-09-20,26.60,50.94,42.85
2021-09-21,25.51,48.80,42.94
2021-09-22,25.05,46.87,41.73
2021-09-23,24.28,44.86,41.02
2021-09-24,23.64,43.34,40.03
2021-09-25,22.37,41.84,39.75
2021-09-26,21.01,41.17,39.38
2021-09-27,23.13,40.60,39.05
2021-09-28,22.76,39.44,38.56
2021-09-29,22.73,38.09,38.09
2021-09-30,22.42,37.43,37.25
2021-10-01,22.38,36.03,37.53
2021-10-02,22.22,35.14,36.83
2021-10-03,22.19,34.36,36.72
2021-10-04,21.47,33.40,36.65
2021-10-05,21.21,32.38,36.27
2021-10-06,21.05,31.48,36.47
2021-10-07,20.82,30.57,36.51
2021-10-08,20.54,29.87,36.02
2021-10-09,20.43,28.76,36.06
2021-10-10,20.19,28.38,35.66
2021-10-11,20.05,27.65,34.73
2021-10-12,19.85,26.83,34.35
2021-10-13,19.49,26.26,33.84
2021-10-14,19.10,25.17,33.32
2021-10-15,18.80,24.09,32.80
2021-10-16,18.74,23.70,32.27
2021-10-17,18.72,23.01,31.67
2021-10-18,18.44,22.84,31.23
2021-10-19,18.40,22.31,30.59
2021-10-20,18.16,21.28,29.26
2021-10-21,18.26,20.73,28.64
2021-10-22,18.27,20.31,27.55
2021-10-23,17.60,19.32,25.70
2021-10-24,16.96,18.62,24.07
2021-10-25,15.93,19.27,26.60
2021-10-26,18.55,19.59,26.34
2021-10-27,18.76,19.97,26.76
2021-10-28,18.99,19.50,26.35
2021-10-29,19.20,19.72,26.64
2021-10-30,19.18,19.66,26.56
2021-10-31,19.36,19.59,26.39
2021-11-01,21.97,19.88,26.55
2021-11-02,19.50,18.95,26.67
2021-11-03,19.32,18.45,26.89
2021-11-04,19.74,18.50,27.37
2021-11-05,19.94,18.18,28.04
2021-11-06,20.19,18.06,28.09
2021-11-07,20.35,18.32,28.24
2021-11-08,20.59,18.58,28.77
2021-11-09,20.76,19.03,29.28
2021-11-10,21.61,19.26,30.00
2021-11-11,20.65,19.09,28.94
2021-11-12,20.98,20.42,31.97
2021-11-13,22.62,20.78,32.33
2021-11-14,22.73,20.71,32.61
2021-11-15,21.99,21.21,35.77
2021-11-16,22.35,21.34,37.46
2021-11-17,22.64,21.76,38.73
2021-11-18,24.08,22.79,41.84
2021-11-19,24.25,22.48,40.82
2021-11-20,22.90,22.66,41.01
2021-11-21,22.94,22.74,41.23
2021-11-22,24.13,22.95,41.22
2021-11-23,24.40,23.08,41.32
2021-11-24,24.11,23.04,42.15
2021-11-25,22.87,21.24,39.58
2021-11-26,21.85,20.08,37.37
2021-11-27,22.38,19.94,37.87
2021-11-28,23.55,20.35,38.76
2021-11-29,20.55,19.34,35.48
2021-11-30,21.12,20.14,36.71
2021-12-01,22.15,21.13,37.79
2021-12-02,25.27,23.55,42.01
2021-12-03,27.66,25.89,46.92
